Food,ProductType,FlavorVariant,Calories-kcl,Protein-g,Carb-g,Fiber-g,Sugar-g,Sodium-g,SaturatedFat-g,MonounsaturatedFat-g,PolyunsaturatedFat-g,TransaFat-g,MeasureQuantity,MeasureType,MQCalories-kcl,MQGmWt,MQCalories100gm-kcl
Cream Puff,Cream Puff, Custard Or Cream Filled,334,4.4,37.4,0.9,22.1,265,7.1,6.1,4.2,0,4,Oz,260,113,334
Croutons,Croutons, Prepared From Recipe,407,11.9,73.5,5.1,19,698,1.5,3.1,1.3,0.49,0.5,Oz,58,14,407
Croutons,Croutons, Prepared From Recipe,465,10.8,63.5,5,4.4,1089,5.2,9.5,2.4,0.49,0.5,Oz,66,14,465
Crunchmaster,Crunchmaster, Snack Crackers,456,10.9,67.2,7.5,0.8,370,2.1,7,6,0.02,3,Crackers,18,4,456
Danish Pastry,Danish Pastry, Prepared From Recipe,374,8,37.2,1,7,417,6.8,11.3,2.6,0.49,1,Oz,106,28,374
Danish Pastry,Danish Pastry, Enriched,403,7,44.6,1.3,19.8,414,5.7,12.5,2.9,0.49,1,Oz,114,28,403
Danish Pastry,Danish Pastry, Unenriched,403,7,44.6,1.2,19,371,5.7,12.5,2.9,0.49,1,Oz,114,28,403
Danish Pastry,Danish Pastry, Enriched (Includes Apple,371,5.4,47.8,1.9,27.5,445,4.9,10,2.4,0.49,1,Oz,105,28,371
Danish Pastry,Danish Pastry, Unenriched,371,5.4,47.8,1.9,19,354,2.8,5.9,1.5,0.49,1,Oz,105,28,371
Danish Pastry,Danish Pastry, Raisin Nut,430,7.1,45.7,2,25.9,298,5.8,13.7,4.3,0.49,1,Oz,122,28,430
Doughnuts,Doughnuts, Chocolate,417,4.5,57.4,2.2,31.9,215,5.1,11.3,2.5,0.49,1,Oz,118,28,417
Doughnuts,Doughnuts, Plain (Includes Unsugared,434,5.3,47.1,1.7,18.2,477,11.1,8.5,3.9,0.49,1,Donut,174,40,434
Doughnuts,Doughnuts, Plain,452,4.9,51.3,1.9,26.7,326,13.5,8.6,2,0.49,1,Oz,128,28,452
Doughnuts,Doughnuts, Plain,426,5.2,50.8,1.5,19,402,5.9,12.7,2.9,0.49,1,Oz,121,28,426
Doughnuts,Doughnuts, Glazed,412,3.1,59.5,1.2,35.1,345,4.7,10.4,2.3,0.49,1,Oz,117,28,412
Doughnuts,Doughnuts, Glazed,403,6.4,44.3,1.2,19,342,5.8,12.9,2.9,0.49,1,Oz,114,28,403
Doughnuts,Doughnuts, With Creme Filling,361,6.4,30,0.8,14.6,309,5.4,12.1,3.1,0.49,1,Oz,102,28,361
Doughnuts,Doughnuts, With Jelly Filling,340,5.9,39,0.9,21.1,455,4.8,10.2,2.4,0.49,1,Oz,96,28,340
English Muffins,English Muffins, Prepared From Recipe,235,9.1,46.3,2.8,0.8,298,0.2,0.8,0.6,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Toasted (Includes Granola),255,9.9,50.3,3,0.9,324,0.3,0.9,0.6,0.49,1,Oz,72,28,255
English Muffins,English Muffins, Enriched,227,8.9,44.2,3.5,3.5,425,0.7,0.4,0.5,0,1,Oz,64,28,227
English Muffins,English Muffins, Enriched,235,7.7,46,2.7,19,464,0.3,0.3,0.9,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Toasted,270,10.3,52.7,2.8,3.5,477,0.5,0.5,0.9,0,1,Oz,77,28,270
English Muffins,English Muffins, Unenriched,235,7.7,46,2.7,19,464,0.3,0.3,0.9,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Prepared From Recipe,240,7.9,48.1,2.6,14.8,299,0.5,0.8,0.3,0,1,Oz,68,28,240
English Muffins,English Muffins, Toasted (Includes Apple-Cinnamon),276,8.9,55,3,13.3,342,0.6,1.1,0.5,0,1,Oz,78,28,276
English Muffins,English Muffins, Prepared From Recipe,223,8.7,44.8,4.6,1.6,353,0.3,0.3,0.8,0.49,1,Oz,63,28,223
English Muffins,English Muffins, Toasted,243,9.4,48.7,5,1.7,384,0.3,0.3,0.9,0.49,1,Oz,69,28,243
English Muffins,English Muffins, Prepared From Recipe,203,8.8,40.4,6.7,8.1,364,0.3,0.5,0.8,0.49,1,Oz,58,28,203
English Muffins,English Muffins, Toasted,221,9.6,44.1,7.3,8.8,396,0.4,0.6,0.9,0.49,1,Oz,63,28,221
Famous Amos,Famous Amos, Prepared From Recipe,503,4.5,67.7,2.8,32.4,359,9.6,5.8,7.1,0.29,4,Cookies,146,29,503
Famous Amos,Famous Amos, Prepared From Recipe,519,5.8,63.8,3.3,31.8,356,9.7,8.1,7.4,0.2,4,Cookies,151,29,519
Famous Amos,Famous Amos, Prepared From Recipe,474,4.3,72.3,2.2,40.4,420,6.4,4.4,6.9,0.27,3,Cookies,161,34,474
Famous Amos,Famous Amos, Prepared From Recipe,485,4.9,73.8,1.3,37.2,260,6.3,4.4,7.2,0.28,3,Cookies,165,34,485
Focaccia,Focaccia, Plain,249,8.8,35.8,1.8,1.8,561,0.9,5.7,1,0,1,Piece,142,57,249
French Toast,French Toast, Ready-To-Heat,213,7.4,32.1,1.1,19,495,1.5,2,1.2,0.49,1,Oz,60,28,213
French Toast,French Toast, Made With Low Fat (2%) Milk,229,7.7,25,3.33,19,479,2.7,4.5,2.6,0.49,1,Oz,65,28,229
General Mills,General Mills, Dry,413,3.8,81.3,3.33,43.9,672,2.3,4.51,4.37,0.49,1,Serving,178,43,413
George Weston Bakeries,George Weston Bakeries, Dry,390,13.3,72.7,5.4,19,1680,0.9,2,0.8,0.49,1,Serving,260,67,390
George Weston Bakeries,George Weston Bakeries, Prepared From Recipe,232,8,46,3.33,19,345,0.3,0.3,0.9,0.08,1,Serving,132,57,232
Girl Scouts,Girl Scouts, Prepared From Recipe,520,5.1,64.8,1.3,29.6,225,11.2,5.6,8.6,0.36,4,Cookies,156,30,520
Girl Scouts,Girl Scouts, Prepared From Recipe,478,4.2,72.3,1.5,35.4,247,6.4,4.2,6.9,0.27,3,Cookies,172,36,478
Girl Scouts,Girl Scouts, Prepared From Recipe,478,8.1,66,3.7,31.1,301,5.9,6.5,7.3,0.2,2,Cookies,115,24,478
Girl Scouts,Girl Scouts, Prepared From Recipe,489,3.5,64.1,4.4,35.8,182,17.7,2.8,3.7,0.2,2,Cookies,142,29,489
Girl Scouts,Girl Scouts, Prepared From Recipe,558,8.1,52.2,3.5,30.9,371,19.2,8.4,6.3,0.27,2,Cookies,140,25,558
Girl Scouts,Girl Scouts, Prepared From Recipe,491,4.6,70,1.8,28.9,305,7.8,4.5,7.2,0.29,2,Cookies,123,25,491
Girl Scouts,Girl Scouts, Prepared From Recipe,502,4.5,67.3,2.3,32,380,16.5,2.6,3.6,0.37,4,Cookies,161,32,502
Girl Scouts,Girl Scouts, Prepared From Recipe,498,5.7,68,1.6,20.7,343,7.3,5.1,8.1,0.33,5,Cookies,164,33,498
Glutino,Glutino, Chocolate Vanilla Creme,474,2.2,76,2.5,49,275,7.9,6.1,1.8,0.1,3,Cookies,209,44,474
Glutino,Glutino, Vanilla Creme,487,2.2,77.3,0,49.4,189,8.1,6.3,1.9,0.08,3,Cookies,219,45,487
Glutino,Glutino, Lemon Flavored,515,0,74.4,0,42.3,111,10.5,8.3,2.7,0.04,3,Cookies,155,30,515
Glutino,Glutino, Milk Chocolate,541,4.1,62.8,1.6,41,122,15.3,9.5,2.3,0.1,3,Cookies,124,23,541
Hush Puppies,Hush Puppies, Prepared From Recipe,337,7.7,46,2.8,2,668,2.1,3.3,7.2,0.49,1,Oz,96,28,337
Ice Cream Cones,Ice Cream Cones, Prepared From Recipe,417,8.1,79,3,6,256,1.2,1.8,3.3,0.49,1,Oz,118,28,417
Ice Cream Cones,Ice Cream Cones, Rolled-Type,402,7.9,84.1,1.7,25.7,298,0.6,1.5,1.5,0.49,1,Oz,114,28,402
Interstate Brands Corp,Interstate Brands Corp, Prepared From Recipe,273,8.1,50.8,2.6,11.1,488,1,0.8,2.2,0.49,1,Serving,117,43,273
Jackson'S,Jackson'S, Prepared From Recipe,469,5.7,71.7,1.4,31.6,334,5.9,4.1,6.7,0.26,3,Cookies,150,32,469
Jackson'S,Jackson'S, Prepared From Recipe,453,5,74,1.1,33.9,390,4.9,3.4,5.8,0.21,8,Cookies,136,30,453
Kashi,Kashi, Prepared From Recipe,192,5.7,34.6,9,4.6,476,0.7,3.4,2.3,0.1,2,Pieces,138,72,192
Kashi,Kashi, Original,396,10.6,73.4,12.2,0.4,283,1.1,6,4.5,0,7,Cracker,119,30,396
Kashi,Kashi, Roasted Garlic,440,10.5,73.2,12.2,0.6,240,1.1,6.1,4.6,0,7,Cracker,132,30,440
Kashi,Kashi, Prepared From Recipe,197,6,35.4,9.3,4.2,479,0.7,3.5,2.4,0.1,2,Pieces,142,72,197
Kashi,Kashi, Country Cheddar Crackers,445,9.8,68,2.5,3.7,724,1.9,7.5,4.1,0.05,18,Cracker,134,30,445
Kashi,Kashi, Fire Roasted Vegetable Crackers,389,12,64.6,8.7,7.3,664,1.1,5.8,3.7,0.2,15,Crackers,117,30,389
Kashi,Kashi, Happy Trail Mix Cookies,451,8.1,63.9,13.7,26.6,249,4.1,7.8,5.6,0.01,1,Cookie,135,30,451
Kashi,Kashi, Honey Sesame Crackers,398,8.7,72.2,5.8,16.1,471,0.9,5,3.6,0,15,Cracker,119,30,398
Kashi,Kashi, Oatmeal Dark Chocolate Cookies,426,7.2,67,12.2,27.2,222,4.2,7.8,4,0,1,Cookie,128,30,426
Kashi,Kashi, Oatmeal Raisin Flax Cookies,414,7.7,67,12.8,24.8,236,1.6,6.7,6.4,0,1,Cookie,124,30,414
Kashi,Kashi, Original 7-Grain Crackers,385,13.9,63.2,9,13.5,530,1.2,5.5,3.9,0.2,15,Crackers,116,30,385
Kashi,Kashi, Pita Crisps,381,10.5,72.4,14.7,5.4,585,0.9,4.4,2.9,0.1,11,Crisps,118,31,381
Kashi,Kashi, Pita Crisps,381,11,71.6,15.3,2.9,585,0.9,4.4,2.9,0.1,11,Crisps,118,31,381
Kashi,Kashi, Toasted Asiago Crackers,420,12.7,66.4,9.6,7.1,659,2.2,5.9,3.9,0.2,15,Crackers,130,31,420
Keebler,Keebler, Chips Deluxe,452,4.7,77.7,3.1,40.3,441,5.3,3.3,3.8,0.2,1,Pouch,95,21,452
Keebler,Keebler, Fudge Shoppe,471,4,72.2,2.4,39.7,423,12.7,2.1,3.7,0.39,1,Pouch,94,20,471
Keebler,Keebler, Fudge Shoppe,479,4.5,71.2,3.2,39.3,392,13.4,2.3,3.6,0.4,1,Pouch,101,21,479
Keebler,Keebler, Fudge Shoppe,455,7.5,71.3,3.9,32.9,595,15.2,0.8,0.2,0.1,1,Package,96,21,455
Keebler,Keebler, Fudge Shoppe,455,4.5,65.1,2.8,31.5,284,7.4,4.9,6.5,0.2,1,Package,96,21,455
Keebler,Keebler, Fudge Shoppe,467,4.5,73.2,2.3,34.8,349,11.1,2.1,3.9,0.36,1,Pouch,93,20,467
Keebler,Keebler, Fudge Shoppe,470,4,74.3,1.9,39.2,314,12.9,1.5,2.8,0.38,1,Pouch,99,21,470
Keebler,Keebler, Fudge Shoppe,456,5.2,75,2.9,34.5,343,10.3,1.7,2.9,0.31,1,Pouch,96,21,456
Keebler,Keebler, Sandies Shortbread Cookies,468,5.2,73.9,1.4,25.8,438,6.8,3.6,5.1,0.32,1,Pouch,98,21,468
Keebler,Keebler, Sandies Shortbread Cookies,462,4.1,72.4,13.2,27,253,11.2,2.7,5.1,0.4,1,Package,97,21,462
Keebler,Keebler, White Fudge Dipped Pretzels,483,7,68.8,2.3,31.7,632,16.7,0.6,0.2,0.3,1,Pouch,101,21,483
Keebler,Keebler, Holiday,482,5.1,70.1,1.6,26,407,6.3,4.6,6.9,0.29,4,Cookies,135,28,482
Keebler,Keebler, Chocolate Chip Cookie,437,5.3,69.9,2.4,36.2,348,6.3,4,4.6,0.2,2,Cookies,140,32,437
Keebler,Keebler, Oatmeal Raisin Cookie,420,6.1,69.1,3.6,32.3,321,4.6,3.3,5.3,0.2,2,Cookies,134,32,420
Keebler,Keebler, Prepared From Recipe,502,8.1,59.5,1.3,13.4,760,6.4,5.5,12.2,0.66,1,Package,196,39,502
Keebler,Keebler, Prepared From Recipe,492,10.8,59,3.2,9,843,3.7,8.4,12,0.15,1,Package,192,39,492
Keebler,Keebler, Prepared From Recipe,499,8.4,59.8,1.8,14.2,790,6.3,5.3,11.9,0.66,1,Package,195,39,499
Keebler,Keebler, Chocolate Lovers Cookies,508,5.5,63,3.1,34,417,11.7,7.2,6.8,0.3,2,Cookies,163,32,508
Keebler,Keebler, Chocolate Malt Chunk Cookies,537,4.7,61.8,1.7,31.6,342,13.8,5.9,8.2,0.35,2,Cookies,166,31,537
Keebler,Keebler, Coconut Cookies,530,5.7,61.5,3.7,28.4,293,14.1,5.5,7.7,0.33,2,Cookies,159,30,530
Keebler,Keebler, Dark Chocolate Chunk Cookies,518,4.3,64,2.6,31.2,437,11,6.9,8.1,0.3,2,Cookies,166,32,518
Keebler,Keebler, Mini Chocolate Chip Cookies,498,5.2,68,2.4,31,418,9.2,5.8,6.6,0.2,1,Pouch,169,34,498
Keebler,Keebler, Oatmeal Chocolate Chip Cookies,500,6.4,65.3,4.4,32.3,332,9.4,6.3,6.9,0.28,2,Cookies,155,31,500
Keebler,Keebler, Original Chocolate Chip Cookies,517,5.5,62.7,2.9,30.1,350,11.1,7.2,8.2,0.3,2,Cookies,155,30,517
Keebler,Keebler, Peanut Butter Cups Cookies,519,6,60.8,2.3,30.2,285,12.8,6.4,7.7,0.3,2,Cookies,166,32,519
Keebler,Keebler, Rainbow Chocolate Chip Cookies,502,5.1,65,2.4,33.5,332,10.4,5.2,6.9,0.3,2,Cookies,156,31,502
Keebler,Keebler, Soft 'N Chewy Chocolate Chip Cookies,464,4.2,67.4,2.5,29.9,349,8.5,4.6,6,0.3,2,Cookies,144,31,464
Keebler,Keebler, Prepared From Recipe,429,7.3,73.9,4.8,26,447,4.3,2.9,4.9,0.2,1,Package,159,37,429
Keebler,Keebler, Prepared From Recipe,494,8.4,61.3,1.3,14.1,756,6.1,5,11.1,0.64,1,Package,193,39,494
Keebler,Keebler, Snack Sticks,471,6.5,66,3.1,14,890,3.5,7.7,8.8,1.3,12,Crackers,137,29,471
Keebler,Keebler, Snack Sticks,475,6,65,2.4,9.5,1106,3.7,8,9.2,1.3,12,Crackers,138,29,475
Keebler,Keebler, Dash Of Salt Crackers,490,6.8,66.3,2.1,7.3,432,3.6,5.4,12.8,0.2,4,Crackers,69,14,490
Keebler,Keebler, Minis Multigrain Crackers,470,7.3,67.4,3.7,10.7,876,4.5,4.8,9.2,1,17,Crackers,71,15,470
Keebler,Keebler, Minis Original Crackers,479,6,66.4,2.2,8,972,4.8,5.1,9.9,1.1,17,Crackers,72,15,479
Keebler,Keebler, Multigrain Crackers,466,7.1,65.9,3.5,12,883,3.3,5,11.8,0.19,4,Crackers,65,14,466
Keebler,Keebler, Original Crackers,486,5.5,66.2,1.9,8.9,909,3.6,5.4,12.9,0.21,4,Crackers,68,14,486
Keebler,Keebler, Reduced Fat Crackers,441,6.1,73.1,2,10.1,938,2.4,3.3,8.1,0.13,5,Crackers,71,16,441
Keebler,Keebler, Prepared From Recipe,482,6.5,67,3.6,29.9,362,6.9,5,7.9,0.29,2,Cookies,135,28,482
Keebler,Keebler, Prepared From Recipe,504,3.9,68.3,2.6,37.9,267,11.6,3.8,5.8,0.3,4,Cookies,131,26,504
Keebler,Keebler, Butter Flavored Cookies,482,5.5,70,3.4,33.9,275,7,4,8,0.4,2,Cookies,174,36,482
Keebler,Keebler, Double Stuffed Cookies,512,4.6,67.6,4.1,38.5,266,10.5,4.3,9.6,0.38,2,Cookies,179,35,512
Keebler,Keebler, Caramel Filled Cookies,506,2.9,66.7,1.6,42,138,17.9,2.6,3.4,0.55,2,Cookies,152,30,506
Keebler,Keebler, Cheesecake Middles,506,4.4,64.7,4.1,33.7,320,14.1,3.9,7.1,0.5,3,Cookies,132,26,506
Keebler,Keebler, Cheesecake Middles,507,4.2,65.5,3.2,33.2,259,13.8,3.7,7.3,0.5,3,Cookies,132,26,507
Keebler,Keebler, Coconut Dreams Cookies,499,3.5,61.4,3.3,34.5,193,20.7,2.6,3.1,0.3,2,Cookies,140,28,499
Keebler,Keebler, Deluxe Grahams Cookies,511,4,66.6,2.2,37.3,265,17.2,2.7,4.9,0.55,3,Pieces,138,27,511
Keebler,Keebler, Fudge Grahams,470,5.6,73.7,3.2,34.1,324,10,1.9,3.9,0.28,4,Cookies,127,27,470
Keebler,Keebler, Fudge Sticks,529,2.6,68.8,1.3,53,131,16.9,3.2,5.9,0.57,3,Cookies,153,29,529
Keebler,Keebler, Fudge Sticks,544,6.8,60,2.7,41.4,138,17.4,6.3,6.5,0.5,3,Cookies,158,29,544
Keebler,Keebler, Fudge Stripes,487,4.3,70.1,3.1,39.9,370,14.5,2.5,3.8,0.4,3,Cookies,151,31,487
Keebler,Keebler, Fudge Stripes,498,4.1,68.8,1.9,33.8,271,14.8,2.7,5.1,0.5,3,Cookies,154,31,498
Keebler,Keebler, Fudge Stripes,497,4.2,68.7,1.8,31.8,367,13.8,2.9,5.5,0.47,1,Package,199,40,497
Keebler,Keebler, Fudge Stripes,478,5.5,66.4,7.1,33.1,367,14.7,3.1,5.2,0.5,3,Cookies,148,31,478
Keebler,Keebler, Fudge Stripes,500,4.1,68.6,1.9,33.8,348,14.8,2.7,5.1,0.49,3,Cookies,155,31,500
Keebler,Keebler, Fudge-Dipped Ice Cream Cups,485,6,73.1,2.2,25.7,136,16.8,0.5,1.1,0.38,1,Cup,39,8,485
Keebler,Keebler, Grasshopper Cookies,499,4,68.3,2.4,39.7,266,16.4,2.4,4.1,0.5,4,Cookies,145,29,499
Keebler,Keebler, Jumbo Fudge Sticks,537,7.1,60.6,3.2,40.8,121,15.7,9,4.1,0.4,1,Cookie,166,31,537
Keebler,Keebler, Jumbo Fudge Sticks,530,2.4,68.6,1.7,51.2,113,17,7.4,2,0.4,1,Cookie,164,31,530
Keebler,Keebler, Magic Middles Fudge Filled Cookies,521,5,62.5,1.9,33,187,9.9,4.8,7.8,0.4,2,Cookies,156,30,521
Keebler,Keebler, Magic Middles Fudge Filled Cookies,514,6.9,59.2,2.7,34.5,479,8.9,6.3,6,0.3,2,Cookies,154,30,514
Keebler,Keebler, Merry Mint Patties,528,2.9,66.7,1.4,44.3,249,23.3,3.2,1,0.5,2,Cookies,137,26,528
Keebler,Keebler, Mint Creme Middles,516,4.3,65.4,3.2,38.9,283,15.6,3.7,6.6,0.6,3,Cookies,134,26,516
Keebler,Keebler, Peanut Creme Filled Cookies,537,7.2,57.6,3.3,30.3,354,16.9,6.8,6,0.3,2,Cookies,161,30,537
Keebler,Keebler, Triple Fudge Filled Cookies,533,3.6,64.2,3,42.7,235,17.1,4.3,6.3,0.44,2,Cookies,165,31,533
Keebler,Keebler, Holiday,444,4.9,77.9,2.1,32.9,420,3.9,2.7,4.5,0.2,5,Cookies,147,33,444
Keebler,Keebler, Cinnamon Crisp,430,5.9,76.3,3.3,26.9,474,2.7,2.9,5.7,0.57,8,Crackers,129,30,430
Keebler,Keebler, Chips Deluxe,473,5.3,71.3,2.5,31.4,385,7.7,4.9,5.6,0.2,1,Pouch,118,25,473
Keebler,Keebler, Chips Deluxe,470,4.7,74.3,1.8,33.5,383,7.1,4,5.5,0.2,1,Pouch,118,25,470
Keebler,Keebler, Chocolate Chip Grahams,433,7.4,75.6,11,22.8,289,4.8,3.1,4,0.1,1,Pouch,108,25,433
Keebler,Keebler, Cinnamon Grahams,415,7.4,75.6,10.4,20.5,324,4.1,2.8,4.9,0.2,1,Pouch,104,25,415
Keebler,Keebler, Prepared From Recipe,470,5,73.9,1.5,28.2,380,5.5,3.8,6.2,0.25,6,Cookies,136,29,470
Keebler,Keebler, Prepared From Recipe,467,6.5,69.5,4.1,35.6,297,5.8,4.4,6.9,0.24,2,Cookies,135,29,467
Keebler,Keebler, Prepared From Recipe,465,7.1,71.8,3.33,26.5,357,3.2,8.4,2.2,0.49,1,Serving,144,31,465
Keebler,Keebler, Prepared From Recipe,478,7.1,67.7,4.5,30.9,325,6.3,4.9,7.5,0.27,2,Cookies,139,29,478
Keebler,Keebler, Chocolate Pie Crust,490,5.1,67.7,1.8,28.7,507,5,6.7,0.8,9.4,0.12,"Crust, 1 Serving (From 9"" Shell)",103,21,490
Keebler,Keebler, Graham Pie Crust (10"),472,4.9,73.5,2.5,29.7,483,3.8,5.2,0.5,7.54,0.12,Crust,99,21,472
Keebler,Keebler, Shortbread Pie Crust,502,4.4,69.1,1.3,26.6,430,5.1,6.9,0.5,0,0.12,"Crust, 9"" Crust",105,21,502
Keebler,Keebler, Cashew Shortbread Cookies,535,6.3,59.3,1.5,23.2,370,9.5,8.3,10.2,0.44,2,Cookies,161,30,535
Keebler,Keebler, Chocolate Chip & Pecan Shortbread Cookies,546,5.6,59.2,2.4,26.5,304,10.7,8.9,10.4,0.37,2,Cookies,169,31,546
Keebler,Keebler, Dark Chocolate Almond Shortbread Cookies,540,6.1,59.9,2.6,26.5,303,10.8,7,9.4,0.37,2,Cookies,162,30,540
Keebler,Keebler, Pecan Shortbread Cookies,541,5,59,1.9,22.5,354,9.5,8.4,11.4,0.4,2,Cookies,168,31,541
Keebler,Keebler, Pecan Shortbread Cookies,488,6.7,67.1,2.1,23.9,401,6.6,5.6,7.8,0.28,2,Cookies,151,31,488
Keebler,Keebler, Simply Shortbread Cookies,528,6,62.2,1.4,22.6,291,13.2,6.4,6.4,0.69,2,Cookies,164,31,528
Keebler,Keebler, Chocolate Chip Cookies,477,3.6,66.2,1.7,36.9,350,9,4.7,6.8,0.3,2,Cookies,153,32,477
Keebler,Keebler, Prepared From Recipe,375,7.3,78,2.1,26.4,326,0.8,2,0.8,0,1,Cone,49,13,375
Keebler,Keebler, Prepared From Recipe,469,4.5,71,1.3,32,267,6.5,6.4,1.4,5.42,2,Cookies,178,38,469
Keebler,Keebler, Prepared From Recipe,489,10.6,60.2,3.2,11.6,772,3.6,8.2,8.5,0.14,1,Package,191,39,489
Keebler,Keebler, Prepared From Recipe,475,3.8,69.9,2.3,41.2,324,10.3,5.2,1.1,4.27,2,Cookies,181,38,475
Keebler,Keebler, Buttercrisps Crackers,495,5.5,65,1.8,8.4,930,4,5.8,13.7,0.24,5,Crackers,79,16,495
Keebler,Keebler, Onion Crackers,479,5.7,67.7,2.2,9.7,1006,3.4,5,12,0.2,5,Crackers,77,16,479
Keebler,Keebler, Party Pack Cracker Assortment,483,6.5,64.4,2.9,7.2,904,3.8,5.8,13.1,0.2,5,Crackers,77,16,483
Keebler,Keebler, Sesame Crackers,496,6.6,62.6,2.8,4.1,887,3.5,5.2,15.4,0.2,5,Crackers,79,16,496
